JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits
home health aide,5833318.68,1198976.01,203313.41,2728988.41,7235608.1,9964596.51
hospital elig wrk supervisor,2167446.55,279868.69,69496.81,843145.75,2516812.05,3359957.8
hospital eligibility worker,5838056.2,62416.72,111730.72,271805.1,6012203.64,6284008.74
hospital eligibility worker supervisor,688358.33,65099.25,13620.51,0.0,767078.09,767078.09
hospital eligiblity worker,17165273.55,129612.04,296331.72,7174714.33,17591217.31,24765931.64
housekeeper/food service cleaner,2085489.9,55352.15,90632.33,0.0,2231474.38,2231474.38
housekeeper/food service clnr,7237568.08,269054.97,332547.14,3831083.78,7839170.19,11670253.97
housing inspector,7274676.45,6860.09,127913.52,1938954.62,7409450.06,9348404.68
hsa emp & training spec ii,2557305.35,4604.95,63744.13,1021036.22,2625654.43,3646690.65
hsa social worker,9326866.02,1897.95,144431.22,3864106.73,9473195.19,13337301.92
hsa sr eligibility worker,27957402.31,1831779.12,633689.22,12097501.63,30422870.65,42520372.28
human resources director,836641.58,0.0,6498.01,178546.22,843139.59,1021685.81
human services technician,7256606.4,279410.28,160645.45,2512978.62,7696662.13,10209640.75
illustrator and art designer,1333681.83,0.0,3421.22,403007.46,1337103.05,1740110.51
incident support specialist,3044662.37,1328502.57,505889.95,855612.86,4879054.89,5734667.75
industrial engineer,221151.1,0.0,0.0,72967.35,221151.1,294118.45
industrial hygienist,4596565.07,0.0,37680.8,1130776.91,4634245.87,5765022.78
industrial injury investigator,370072.67,0.0,4016.47,130139.18,374089.14,504228.32
information services manager,1981834.04,0.0,12713.13,0.0,1994547.17,1994547.17
"insp, fire dept",9818082.85,1503872.32,955837.17,3035410.05,12277792.34,15313202.39
inspector 2,770684.65,24935.77,182945.57,194484.95,978565.99,1173050.94
inspector 3,36941476.85,4731378.89,9146369.1,10597747.02,50819224.84,61416971.86
"inspector ii, (police department)",384436.31,27641.37,20770.53,0.0,432848.21,432848.21
"inspector iii, (police department)",19487674.05,2334142.59,3146641.28,0.0,24968457.92,24968457.92
inspector of weights and measures,239861.91,0.0,0.0,0.0,239861.91,239861.91
"inspector, (police department)",833148.72,103298.54,238886.62,181880.51,1175333.88,1357214.39
"inspector, bureau of fire prevention and public sa",2585621.14,68457.56,566735.55,0.0,3220814.25,3220814.25
"inspector, weights & measures",1057538.87,0.0,4341.91,479463.09,1061880.78,1541343.87
institution utility worker,3223830.11,45389.93,36456.35,1315180.41,3305676.39,4620856.8
institutional police lieutenant,49215.62,2563.46,7463.51,0.0,59242.59,59242.59
institutional police officer,2855804.14,801101.4,256440.09,905384.2,3913345.63,4818729.83
institutional police sergeant,870121.24,166400.0,32190.95,215570.94,1068712.19,1284283.13
instructional designer,155811.52,0.0,600.0,60349.55,156411.52,216761.07
integrated pest mgmt specialst,1707968.95,65563.36,21307.73,699338.04,1794840.04,2494178.08
inventory clerk,659230.05,51157.22,14619.23,273337.21,725006.5,998343.71
"investigator, bureau of fire investigation",507525.25,110683.9,83842.48,0.0,702051.63,702051.63
"investigator, office of citizen complaints",1113186.93,0.0,28253.21,0.0,1141440.14,1141440.14
"investigator, tax collector",2802305.45,20753.93,10537.97,867809.24,2833597.35,3701406.59
"investigator, taxi & access svcs",162012.59,0.0,9942.0,0.0,171954.59,171954.59
"investigator,taxi & accesssvcs",1628627.05,12873.03,17881.57,620706.26,1659381.65,2280087.91
investigator/transit fare supv,615236.52,0.0,53045.43,264245.58,668281.95,932527.53
invstgtor ofc citizen cmplnts,3913279.57,0.0,27728.3,1486666.14,3941007.87,5427674.01
"invstgtor,fire dept",1000253.53,158028.15,110378.03,336564.64,1268659.71,1605224.35
is administrator - supervisor,1676467.11,1864.2,48164.57,0.0,1726495.88,1726495.88
is administrator 1,1307413.15,92786.85,23473.43,620669.6,1423673.43,2044343.03
is administrator 2,7081025.47,5568.96,184634.22,2947565.81,7271228.65,10218794.46
is administrator 3,5135173.52,0.0,106618.24,2028429.97,5241791.76,7270221.73
is administrator i,1479540.14,76779.81,34197.95,0.0,1590517.9,1590517.9
is administrator ii,5122366.13,5411.14,112505.99,0.0,5240283.26,5240283.26
is administrator iii,4922599.9,0.0,98613.46,0.0,5021213.36,5021213.36
is administrator-supervisor,1963040.37,0.0,94785.17,753876.48,2057825.54,2811702.02
is business analyst,16054380.15,19134.76,135493.99,4649927.91,16209008.9,20858936.81
is business analyst - assistant,400122.24,0.0,2597.02,0.0,402719.26,402719.26
is business analyst - principal,9207464.87,33514.94,121710.33,0.0,9362690.14,9362690.14
is business analyst - senior,6741655.84,23419.19,75412.05,0.0,6840487.08,6840487.08
is business analyst-assistant,1790582.38,5450.09,3637.22,748958.08,1799669.69,2548627.77
is business analyst-principal,32133235.38,307955.81,501662.19,10659986.23,32942853.38,43602839.61
is business analyst-senior,23231390.09,93058.64,440036.33,8218039.75,23764485.06,31982524.81
is engineer - assistant,451414.45,0.0,7294.2,0.0,458708.65,458708.65
is engineer - journey,4751384.11,14124.63,188326.63,0.0,4953835.37,4953835.37
is engineer - principal,5244354.02,0.0,306852.9,0.0,5551206.92,5551206.92
is engineer - senior,9151750.31,5442.98,262547.36,0.0,9419740.65,9419740.65
is engineer-assistant,2006425.69,0.0,36725.33,724225.12,2043151.02,2767376.14
is engineer-journey,16649868.8,42968.69,660322.36,5772465.25,17353159.85,23125625.1
is engineer-principal,19700092.93,0.0,856095.16,6345784.27,20556188.09,26901972.36
is engineer-senior,31068129.93,11215.11,1347949.88,10294236.64,32427294.92,42721531.56
is manager,5279283.71,0.0,154349.21,1820016.34,5433632.92,7253649.26
is operator - analyst,135014.53,0.0,0.0,0.0,135014.53,135014.53
is operator - journey,589609.28,12473.5,25459.33,0.0,627542.11,627542.11
is operator - senior,836142.7,11399.58,38099.1,0.0,885641.38,885641.38
is operator - supervisor,93086.0,0.0,25162.12,0.0,118248.12,118248.12
is operator-analyst,148980.09,0.0,0.0,65092.25,148980.09,214072.34
is operator-journey,707055.48,16046.15,58080.04,380555.59,781181.67,1161737.26
is operator-senior,949338.47,14318.68,20286.49,444433.76,983943.64,1428377.4
is prg analyst-principal,5581695.91,19375.24,191376.63,1932987.61,5792447.78,7725435.39
is program analyst-assistant,250371.24,136.53,4271.57,113530.75,254779.34,368310.09
is programmer analyst,3048848.87,0.0,61058.2,939001.17,3109907.07,4048908.24
is programmer analyst - assistant,173677.49,5966.51,0.0,0.0,179644.0,179644.0
is programmer analyst - principal,1936501.06,14571.65,83952.27,0.0,2035024.98,2035024.98
is programmer analyst - senior,1970658.16,0.0,20002.61,0.0,1990660.77,1990660.77
is programmer analyst-senior,6294045.13,0.0,36546.85,2322836.53,6330591.98,8653428.51
is project director,24002990.33,17687.83,235067.89,6001832.62,24255746.05,30257578.67
is technical-journey,444454.47,4459.81,3506.31,209252.06,452420.59,661672.65
is technician - assistant,34767.3,0.0,0.0,0.0,34767.3,34767.3
is technician - journey,507566.08,9832.29,17970.49,0.0,535368.86,535368.86
is technician - senior,296987.65,151.62,1197.51,0.0,298336.78,298336.78
is technician - supervisor,167794.56,0.0,368.4,0.0,168162.96,168162.96
is technician assistant,,0.0,0.0,7959.18,0.0,7959.18
is technician-senior,299055.34,160.14,1825.88,131386.11,301041.36,432427.47
is technician-supervisor,172041.92,0.0,2917.81,72218.31,174959.73,247178.04
is trainer - assistant,120813.92,40.03,0.0,0.0,120853.95,120853.95
is trainer - journey,293991.77,0.0,2696.6,0.0,296688.37,296688.37
is trainer - senior,95203.01,0.0,0.0,0.0,95203.01,95203.01
is trainer-assistant,631788.49,0.0,618.4,274648.42,632406.89,907055.31
is trainer-journey,752360.34,0.0,0.0,294003.8,752360.34,1046364.14
is trainer-senior,295386.25,0.0,0.0,105313.07,295386.25,400699.32
it operations support admin i,1351182.91,75868.4,26359.61,606882.09,1453410.92,2060293.01
it operations support admin ii,4398797.38,252395.52,89490.86,1817926.81,4740683.76,6558610.57
it operations support admin iv,9819926.7,0.0,165213.59,3406146.3,9985140.29,13391286.59
it operations support admin v,3276105.68,0.0,105073.97,1077326.24,3381179.65,4458505.89
it operations support admn iii,10751650.3,6429.81,215373.71,3984374.03,10973453.82,14957827.85
janitorial services assistant supervisor,380083.68,18717.01,15892.51,0.0,414693.2,414693.2
janitorial services supervisor,489328.56,9195.38,39549.92,157235.01,538073.86,695308.87
janitorial svcs asst sprv,1312510.49,70103.36,59768.8,568423.38,1442382.65,2010806.03
junior administrative analyst,10958503.7,65491.25,32438.41,4067361.79,11056433.36,15123795.15
junior clerk,3910891.22,482748.16,37481.99,1071356.63,4431121.37,5502478.0
junior clerk typist,224554.19,247.52,3518.17,72769.78,228319.88,301089.66
junior engineer,15668321.24,159023.48,92105.08,4959687.91,15919449.8,20879137.71
junior management assistant,6795948.77,58328.19,32664.46,2667678.8,6886941.42,9554620.22
lab svcs mgr,797641.22,0.0,1665.0,257241.67,799306.22,1056547.89
laboratory helper,50142.4,0.0,624.0,0.0,50766.4,50766.4
laboratory services manager,243301.91,0.0,1085.0,0.0,244386.91,244386.91
laboratory technician i,166882.01,0.0,1896.0,78844.69,168778.01,247622.7
laboratory technician ii,1377412.69,315.83,28924.79,608200.51,1406653.31,2014853.82
landscape architect,1716842.74,0.0,346.56,424432.02,1717189.3,2141621.32
landscape architect assoc 1,3360953.86,16797.39,5537.89,1215238.61,3383289.14,4598527.75
landscape architect assoc 2,2594650.74,0.0,12773.1,856362.73,2607423.84,3463786.57
landscape architectural associate i,696259.32,4530.39,7321.94,0.0,708111.65,708111.65
landscape architectural associate ii,874612.19,0.0,4984.73,0.0,879596.92,879596.92
law librarian,582386.22,0.0,8387.1,198800.48,590773.32,789573.8
legal assistant,7249046.08,15153.37,57348.82,2218540.42,7321548.27,9540088.69
legal process clerk,2956509.62,4153.69,47186.53,1174185.41,3007849.84,4182035.25
legal research assistant,973045.25,0.0,6920.71,0.0,979965.96,979965.96
legal secretary 1,11399019.06,0.0,90095.02,4638011.51,11489114.08,16127125.59
legal secretary 2,2845635.69,1643.49,47261.69,1125552.68,2894540.87,4020093.55
legal secretary i,3369182.4,776.76,35080.15,0.0,3405039.31,3405039.31
legal secretary ii,1018469.35,2297.44,34041.73,0.0,1054808.52,1054808.52
legislation clerk,216779.03,0.0,0.0,58324.5,216779.03,275103.53
legislative assistant,9862908.13,0.0,152816.29,2903502.68,10015724.42,12919227.1
"legislative assistant, city attorney's office",57535.09,0.0,0.0,0.0,57535.09,57535.09
legislative asst city atty ofc,679526.8,0.0,2596.46,294771.59,682123.26,976894.85
legislative calendar clerk,93552.02,961.94,3918.12,16058.41,98432.08,114490.49
legislative clerk,144524.03,1083.64,0.0,61157.57,145607.67,206765.24
librarian 1,28972748.98,58.58,641153.91,11408189.59,29613961.47,41022151.06
librarian 2,14056644.76,0.0,311718.32,5413045.34,14368363.08,19781408.42
librarian 2 - asian arts,267231.0,0.0,6529.91,102200.24,273760.91,375961.15
librarian 3,4556335.56,0.0,107245.76,1689887.51,4663581.32,6353468.83
librarian i,8574728.34,0.0,176466.24,0.0,8751194.58,8751194.58
librarian ii,3973592.62,0.0,97836.31,0.0,4071428.93,4071428.93
librarian ii - asian arts,80307.2,0.0,0.0,0.0,80307.2,80307.2
librarian iii,1317247.88,0.0,39034.54,0.0,1356282.42,1356282.42
library assistant,17022814.42,1269.98,433323.65,6124754.45,17457408.05,23582162.5
library page,22342115.61,3039.11,422691.9,7999539.14,22767846.62,30767385.76
library technical assistant 1,14139263.83,9495.9,314514.33,6030936.45,14463274.06,20494210.51
library technical assistant 2,6813722.72,17133.74,146079.85,2775762.08,6976936.31,9752698.39
library technical assistant i,4369239.47,276.15,70586.32,0.0,4440101.94,4440101.94
library technical assistant ii,2099158.17,0.0,47384.17,0.0,2146542.34,2146542.34
licensed vocational nurse,44676743.26,5958156.05,2366685.86,14195767.22,53001585.17,67197352.39
"lieut,fire prev",4131034.95,853154.91,531959.93,1216625.33,5516149.79,6732775.12
lieutenant (police department),137370.19,379.66,6232.79,42931.34,143982.64,186913.98
lieutenant 2,1087426.63,119104.15,54384.27,310648.68,1260915.05,1571563.73
lieutenant 3,44303934.29,3199462.45,6983097.65,12474803.68,54486494.39,66961298.07
"lieutenant i, (police department)",140654.87,12244.43,896.43,0.0,153795.73,153795.73
lieutenant ii (police department),54505.38,0.0,98480.01,0.0,152985.39,152985.39
lieutenant iii (police department),13670202.14,1283112.23,1410752.64,0.0,16364067.01,16364067.01
"lieutenant, bureau of fire prevention and public s",1076366.09,47230.77,410927.6,0.0,1534524.46,1534524.46
"lieutenant, fire department",20938301.17,4163780.41,2803626.16,0.0,27905707.74,27905707.74
"lieutenant, fire suppression",73855665.87,19906850.8,9991086.05,24928774.11,103753602.72,128682376.83
light rail vehicle equip eng,119067.0,0.0,4598.67,40306.13,123665.67,163971.8
lighting fixture maint worker,1944231.22,144762.42,41363.33,892414.85,2130356.97,3022771.82
lighting fixture maintenance worker,659522.11,45872.64,9931.23,0.0,715325.98,715325.98
line inspector,829759.8,143331.69,180.0,218023.03,973271.49,1191294.52
locksmith,3070105.17,264672.93,37420.96,855205.8,3372199.06,4227404.86
locksmith supervisor 1,693641.38,121188.74,12052.2,250310.58,826882.32,1077192.9
locksmith supervisor i,95504.84,29387.77,111.75,0.0,125004.36,125004.36
mail & reproduction svc sprv,380281.16,0.0,1318.3,159376.36,381599.46,540975.82
mail and reproduction service supervisor,138941.21,0.0,1482.17,0.0,140423.38,140423.38
main machinist asst sprv,541512.1,13213.36,2250.0,202717.25,556975.46,759692.71
maintenance controller,3181237.95,573186.71,350207.7,921189.57,4104632.36,5025821.93
maintenance estimator and scheduler,397499.69,25195.55,4702.64,0.0,427397.88,427397.88
maintenance machinist,12857996.39,2615353.15,514065.18,3955118.48,15987414.72,19942533.2
maintenance machinist assistant supervisor,174475.83,1584.96,1962.5,0.0,178023.29,178023.29
maintenance machinist sprv 1,1293187.14,94494.64,27398.36,470404.46,1415080.14,1885484.6
maintenance machinist supervisor i,465989.21,34109.94,7043.0,0.0,507142.15,507142.15
maintenance manager,783342.97,7869.21,5019.5,228698.72,796231.68,1024930.4
maintenance planner,9643359.72,112170.36,387050.0,2813755.55,10142580.08,12956335.63
maintenance scheduler,1374000.36,165704.82,25468.87,564424.49,1565174.05,2129598.54
management assistant,19055745.52,12222.46,140999.15,6121052.4,19208967.13,25330019.53
manager i,50653425.52,24967.79,1123900.46,15795112.63,51802293.77,67597406.4
manager i - municipal transportation agency,667296.08,0.0,1093.65,0.0,668389.73,668389.73
manager ii,54422844.45,51191.81,1182845.08,16884626.28,55656881.34,72541507.62
manager ii - municipal transportation agency,820391.69,0.0,18389.83,0.0,838781.52,838781.52
"manager ii, mta",6588576.55,15489.69,159698.86,2619513.7,6763765.1,9383278.8
manager iii,64339091.52,0.0,1379979.97,18415258.63,65719071.49,84134330.12
manager iii - municipal transportation agency,1075019.81,0.0,16333.9,0.0,1091353.71,1091353.71
"manager iii, mta",3207201.38,0.0,72874.63,1287187.43,3280076.01,4567263.44
manager iv,53149347.12,27423.72,1340886.16,14837938.63,54517657.0,69355595.63
manager iv - municipal transportation agency,2342408.89,0.0,19454.12,0.0,2361863.01,2361863.01
"manager iv, mta",8930948.1,0.0,254811.54,3437316.56,9185759.64,12623076.2
manager v,42415836.54,1665.47,898614.7,11153420.16,43316116.71,54469536.87
manager v - municipal transportation agency,1776537.85,0.0,749.12,0.0,1777286.97,1777286.97
"manager v, mta",5514338.27,0.0,162361.92,1976584.55,5676700.19,7653284.74
manager vi,38469608.08,0.0,1380573.91,9955010.45,39850181.99,49805192.44
manager vi - municipal transportation agency,2417425.4,0.0,27729.61,0.0,2445155.01,2445155.01
"manager vi, mta",5723455.97,0.0,424387.0,2058637.06,6147842.97,8206480.03
manager vii,15675057.93,0.0,603725.26,3922285.41,16278783.19,20201068.6
manager vii - municipal transportation agency,717902.04,0.0,35303.37,0.0,753205.41,753205.41
"manager vii, mta",2969511.82,0.0,50057.63,1026857.2,3019569.45,4046426.65
manager viii,17202771.91,0.0,429194.62,4093841.93,17631966.53,21725808.46
manager viii - municipal transportation agency,1451095.87,0.0,3355.8,0.0,1454451.67,1454451.67
"manager viii, mta",4966349.41,22784.62,350231.43,1690231.11,5339365.46,7029596.57
"manager, dept public health",422327.35,0.0,74947.79,131002.1,497275.14,628277.24
"manager, employee relations div",257036.59,0.0,0.0,0.0,257036.59,257036.59
"manager, unified family court services",122009.29,0.0,2383.0,0.0,124392.29,124392.29
"manager,employee relations div",827110.98,0.0,9805.81,312853.56,836916.79,1149770.35
managing attorney,160613.1,0.0,7615.13,57509.91,168228.23,225738.14
marina assistant,181516.95,17101.29,0.0,57567.82,198618.24,256186.06
marina assistant manager,779678.62,48018.98,27288.01,232480.68,854985.61,1087466.29
marina associate manager,34764.0,0.0,0.0,19235.12,34764.0,53999.12
marine engineer of fire boats,2019673.24,381906.48,239367.29,432922.11,2640947.01,3073869.12
maritime marketing repr,1008384.17,0.0,0.0,346313.94,1008384.17,1354698.11
maritime marketing representative,314711.01,0.0,0.0,0.0,314711.01,314711.01
"market research spec, port",275203.58,0.0,0.0,103084.2,275203.58,378287.78
"market research specialists, port",85940.02,0.0,0.0,0.0,85940.02,85940.02
"marriage, family & child cnslr",17498220.97,80847.99,444954.59,6686144.11,18024023.55,24710167.66
"marriage, family & child counselor (mfcc)",5171660.94,13886.22,90690.08,0.0,5276237.24,5276237.24
materials and supplies supervisor,46482.48,0.0,599.18,0.0,47081.66,47081.66
materials coordinator,2714062.86,20.01,6276.79,756398.08,2720359.66,3476757.74
materials testing aide,746235.71,43230.1,11751.15,246892.26,801216.96,1048109.22
materials testing technician,1392971.06,43802.56,12056.17,456748.1,1448829.79,1905577.89
materials/supplies supervisor,160844.17,0.0,1881.6,77545.7,162725.77,240271.47
mayor,1095969.01,0.0,0.0,235081.13,1095969.01,1331050.14
mayor's program manager,89197.2,0.0,0.0,0.0,89197.2,89197.2
mayoral staff ii,309060.24,0.0,4176.43,208100.42,313236.67,521337.09
mayoral staff iv,532782.19,602.63,200.0,261751.71,533584.82,795336.53
mayoral staff ix,1144598.25,0.0,0.0,486439.48,1144598.25,1631037.73
mayoral staff v,259391.67,0.0,3324.3,148999.67,262715.97,411715.64
mayoral staff vii,391436.39,0.0,23169.04,150101.19,414605.43,564706.62
mayoral staff x,358787.28,0.0,10635.12,110056.03,369422.4,479478.43
mayoral staff xi,1161050.17,0.0,2980.05,534224.49,1164030.22,1698254.71
mayoral staff xii,305662.67,0.0,0.0,84273.03,305662.67,389935.7
mayoral staff xiii,1712226.47,0.0,17752.11,553450.3,1729978.58,2283428.88
mayoral staff xiv,1675667.84,0.0,22419.32,607147.17,1698087.16,2305234.33
mayoral staff xv,3101386.37,0.0,45611.78,936190.11,3146998.15,4083188.26
mayoral staff xvi,2713647.14,0.0,47940.64,853716.6,2761587.78,3615304.38
mayoral staff xvii,3035079.71,0.0,46352.99,855367.26,3081432.7,3936799.96
mech shop & equip supt,570086.09,284174.82,52864.59,219515.64,907125.5,1126641.14
mechanical shop and equipment superintendent,233863.2,129631.51,43863.13,0.0,407357.84,407357.84
med examiner's investigator i,756278.56,82566.13,18040.74,262859.63,856885.43,1119745.06
med examiner's investigator ii,2109690.39,424687.09,201279.26,836307.38,2735656.74,3571964.12
med examiner's investigatoriii,586406.7,114234.87,113381.44,222811.77,814023.01,1036834.78
med staff svcs dept anl,495371.02,0.0,634.45,193722.49,496005.47,689727.96
med staff svcs dept spc,764553.84,0.0,13235.51,331161.34,777789.35,1108950.69
media production specialist,138262.1,1940.78,1567.97,56694.0,141770.85,198464.85
media production supervisor,82648.26,0.0,854.83,0.0,83503.09,83503.09
media production supv,481229.21,0.0,4684.25,187680.23,485913.46,673593.69
media production tech,1888849.86,28538.87,22748.54,783803.1,1940137.27,2723940.37
media production technician,562917.22,5194.84,6029.26,0.0,574141.32,574141.32
media programming spec,215571.22,797.42,307.95,89115.68,216676.59,305792.27
media programming specialist,131150.65,562.55,153.68,0.0,131866.88,131866.88
media training specialist,352111.6,1266.81,962.3,101560.55,354340.71,455901.26
media/security sys spec,714145.7,0.0,64007.95,253770.22,778153.65,1031923.87
media/security syst supv,313028.06,0.0,44193.71,110732.4,357221.77,467954.17
media/security systems specialist,226891.07,0.0,18948.0,0.0,245839.07,245839.07
media/security systems supervisor,99094.85,0.0,14294.43,0.0,113389.28,113389.28
medical evaluations assistant,34329046.9,1051283.16,981370.84,12208330.49,36361700.9,48570031.39
medical examiner's investigator i,195843.14,6407.06,5181.85,0.0,207432.05,207432.05
medical examiner's investigator ii,665117.99,98797.37,66665.91,0.0,830581.27,830581.27
medical examiner's investigator iii,137755.16,11405.81,63215.82,0.0,212376.79,212376.79
medical records clerk,10146214.85,360074.05,116849.44,3445329.34,10623138.34,14068467.68
medical records tech sprv,1420750.72,113855.23,43727.75,571497.52,1578333.7,2149831.22
medical records technician,9843482.79,448240.02,130118.04,3239756.93,10421840.85,13661597.78
medical records technician supervisor,429738.19,24712.45,9409.27,0.0,463859.91,463859.91
medical social work supervisor,1225605.45,0.0,0.0,344346.75,1225605.45,1569952.2
medical social worker,26319774.17,0.0,466161.51,7837028.38,26785935.68,34622964.06
medical staff services department analyst,157824.06,0.0,0.0,0.0,157824.06,157824.06
medical staff services department specialist,239695.83,0.0,0.0,0.0,239695.83,239695.83
medical transcriber typist,1062041.12,15561.44,35459.84,354434.26,1113062.4,1467496.66
"member, board of supervisors",4605942.36,0.0,2299.48,1457822.82,4608241.84,6066064.66
mental health hearing officer,274192.11,0.0,5913.23,90529.5,280105.34,370634.84
mental health rehabilitation worker,22535549.67,3239056.59,1237268.28,0.0,27011874.54,27011874.54
mental health treatment specialist,338632.27,2471.25,108793.91,0.0,449897.43,449897.43
mental hlth treatment spec,1273988.85,19836.98,4037.24,480506.44,1297863.07,1778369.51
metal fabricator,68612.66,9936.77,660.0,0.0,79209.43,79209.43
metalsmith,279990.62,0.0,0.0,88188.54,279990.62,368179.16
meter reader,2503528.88,15502.59,13658.35,853585.46,2532689.82,3386275.28
mgr museum security services,78481.0,0.0,3271.76,41774.25,81752.76,123527.01
"mgr, unified family court svcs",217875.72,0.0,10426.32,89664.08,228302.04,317966.12
microbiologist,1608369.78,0.0,1945.15,474459.1,1610314.93,2084774.03
microphoto/imaging technician,736442.84,1012.69,33.22,335216.33,737488.75,1072705.08
mobile equipment assistant supervisor,152252.41,0.0,7363.33,0.0,159615.74,159615.74
mobile equipment supervisor,142576.0,0.0,18760.0,21653.36,161336.0,182989.36
morgue attendant,250093.57,16023.57,9036.13,60601.11,275153.27,335754.38
municipal stadium groundskeeper,66797.6,31468.93,667.72,0.0,98934.25,98934.25
municipal stadium groundskpr,218166.1,112366.67,373.43,92039.04,330906.2,422945.24
museum guard,22468000.61,3105080.67,686768.36,6001109.93,26259849.64,32260959.57
museum preparator,1529143.02,12614.78,12688.7,471087.8,1554446.5,2025534.3
museum registrar,448070.65,1586.56,1916.0,145217.39,451573.21,596790.6
museum sec supv,1616169.54,365527.83,56747.28,719834.25,2038444.65,2758278.9
museum security supervisor,556289.01,117131.84,15164.64,0.0,688585.49,688585.49
musm exhibit packer & repairer,6952.42,0.0,0.0,593.77,6952.42,7546.19
nurse manager,51600223.7,128557.59,5878718.82,12356575.1,57607500.11,69964075.21
nurse midwife,2431910.94,20451.67,135934.21,458831.46,2588296.82,3047128.28
nurse practitioner,79239487.08,1713826.29,2669528.77,19061994.9,83622842.14,102684837.04
nursery specialist,1286158.44,28086.1,19641.28,395620.6,1333885.82,1729506.42
nurses staffing assistant,3262928.06,313104.44,152441.82,1227144.43,3728474.32,4955618.75
nursing assistant,29558035.28,6779946.26,1848564.76,9968930.18,38186546.3,48155476.48
nursing supervisor,16969562.64,33262.52,2311885.02,3861082.96,19314710.18,23175793.14
nursing supervisor psychiatric,2790281.78,0.0,492892.06,626330.61,3283173.84,3909504.45
nutritionist,5810662.58,0.0,69639.7,1668270.92,5880302.28,7548573.2
occupational therapist,12524186.13,0.0,106878.24,3286229.09,12631064.37,15917293.46
offset machine operator,1333898.3,23068.4,14236.08,489457.23,1371202.78,1860660.01
"operating engineer, universal",13936097.66,1646445.24,421463.56,4035633.92,16004006.46,20039640.38
operating room nurse,455745.68,6744.47,45866.65,90199.38,508356.8,598556.18
ornamental iron worker,2726887.4,61756.41,67801.84,824933.35,2856445.65,3681379.0
ornamental iron worker supervisor i,93436.0,564.0,0.0,0.0,94000.0,94000.0
ornamental iron wrk sprv 1,297928.42,7816.92,0.0,108107.88,305745.34,413853.22
orthopedic technician 1,79437.95,0.0,1993.75,34901.27,81431.7,116332.97
orthopedic technician 2,201348.54,0.0,750.0,88250.46,202098.54,290349.0
orthopedic technician i,3583.4,0.0,0.0,0.0,3583.4,3583.4
orthopedic technician ii,60519.2,42.46,200.0,0.0,60761.66,60761.66
painter,28710175.65,1243149.08,576309.35,8601219.7,30529634.08,39130853.78
painter supervisor 1,3375202.66,155879.64,60518.19,1250699.93,3591600.49,4842300.42
painter supervisor 2,234300.95,8428.91,1889.64,84359.53,244619.5,328979.03
painter supervisor i,1019227.56,93631.41,16909.6,0.0,1129768.57,1129768.57
painter supervisor ii,88049.5,0.0,418.6,0.0,88468.1,88468.1
park patrol officer,3170698.94,642458.84,465091.56,1208557.54,4278249.34,5486806.88
park section supervisor,9110101.37,447497.9,241506.23,2877082.98,9799105.5,12676188.48
parking control officer,54639525.92,8029357.04,2001764.43,20076202.8,64670647.39,84746850.19
parking enforcement admin,808587.23,92170.47,45180.98,308672.89,945938.68,1254611.57
parking enforcement administrator,255330.19,33368.34,14505.59,0.0,303204.12,303204.12
parking hearing examiner,1754483.14,0.0,9166.98,323626.15,1763650.12,2087276.27
parking meter repairer,4964974.02,83185.97,122946.53,1670363.54,5171106.52,6841470.06
parking meter repairer sprv 1,749931.48,40928.9,4476.0,297278.63,795336.38,1092615.01
parking meter repairer supervisor i,200456.97,32989.56,1134.0,0.0,234580.53,234580.53
parts storekeeper,7729509.01,1243017.24,231021.06,2749997.55,9203547.31,11953544.86
patient accounts assistant supervisor,310048.31,19258.94,13281.74,0.0,342588.99,342588.99
patient accounts asst sprv,965713.76,36282.8,9774.4,402959.11,1011770.96,1414730.07
patient accounts clerk,3612375.27,83837.29,36551.37,1177380.56,3732763.93,4910144.49
patient accounts manager,642269.67,0.0,0.0,197111.63,642269.67,839381.3
patient accounts supervisor,1736973.4,109001.64,39104.95,512502.1,1885079.99,2397582.09
patient care assistant,76856999.35,10639620.18,4140281.82,34005911.96,91636901.35,125642813.31
patient services finance technician,842400.35,13499.22,7980.75,0.0,863880.32,863880.32
patient svcs finance tech,2692124.69,71427.66,29253.79,1247396.04,2792806.14,4040202.18
pattern maker,966366.8,37257.07,46240.37,281072.69,1049864.24,1330936.93
payroll clerk,12578780.46,718881.85,220706.85,4217149.46,13518369.16,17735518.62
payroll supervisor,449783.34,13085.84,2785.91,130696.67,465655.09,596351.76
perf analyst iii project mgr,2317545.14,0.0,0.0,794874.79,2317545.14,3112419.93
performance analyst i,152292.84,0.0,2334.92,75579.92,154627.76,230207.68
performance analyst ii,2727900.93,0.0,6660.75,1014868.42,2734561.68,3749430.1
performance analyst iii - project manager,565573.69,0.0,0.0,0.0,565573.69,565573.69
performing arts center aide,418836.86,0.0,1748.8,0.0,420585.66,420585.66
permit and citation clerk,4974166.41,118632.5,27656.31,1685372.74,5120455.22,6805827.96
personal property auditor,4827985.26,0.0,50452.1,1376903.17,4878437.36,6255340.53
personnel analyst,19771997.04,23700.75,134935.98,6037784.5,19930633.77,25968418.27
personnel clerk,3184211.03,9493.12,14171.13,1105802.27,3207875.28,4313677.55
personnel payroll representative,242182.51,4062.11,18332.6,0.0,264577.22,264577.22
